timestamp,location,event,difficulty,creatures,treasure
2025-01-01 15:00:00,Darkwood Forest,Goblin Ambush,Medium,"Goblin,Goblin Boss","10 Gold,Shortbow"
2025-01-01 15:10:00,Mountain Pass,Dragon Sighting,Deadly,"Young Red Dragon","Pile of Gold,Ancient Sword"
2025-01-01 15:20:00,Abandoned Keep,Spectral Guardian,Hard,"Wraith,Animated Armor","Cursed Ring,Spell Scroll"
2025-01-01 15:30:00,Village Market,Mysterious Merchant,Easy,"Human Merchant","Magic Potion,Strange Map"
2025-01-01 15:40:00,Sunken Ruins,Sunken Horror,Hard,"Abyssal Spawn","Pearl Necklace,Rusted Sword"
2025-01-01 15:50:00,Shadow Alley,Assassin's Contract,Medium,"Drow Assassin","Poisoned Dagger,Gold Pouch"
2025-01-01 16:00:00,Ancient Library,Forbidden Knowledge,Hard,"Living Book,Arcane Guardian","Spellbook,Ancient Key"
2025-01-01 16:10:00,Crystal Cavern,Elemental Turmoil,Hard,"Earth Elemental,Fire Elemental","Gemstone,Elemental Core"
2025-01-01 16:20:00,Bandit Hideout,Raid the Bandits,Medium,"Bandit Captain,Bandits","50 Gold,Smuggled Goods"
2025-01-01 16:30:00,Enchanted Meadow,Trickster Fae Encounter,Easy,"Pixie,Quickling","Fairy Dust,Enchanted Coin"
2025-01-01 16:40:00,Dwarven Mines,Tunnel Collapse,Medium,"None","Rare Ore,Survivor's Ring"
2025-01-01 16:50:00,Lost Temple,Altar of the Forgotten,Hard,"Cursed Priest,Shadow Acolyte","Dark Relic,Obsidian Dagger"
2025-01-01 17:00:00,Haunted Manor,Ghostly Banquet,Hard,"Ghosts,Poltergeist","Spectral Amulet,Ancient Recipe"
2025-01-01 17:10:00,Frozen Wasteland,The Ice Titan,Deadly,"Frost Giant,Ice Mephit","Frozen Gem,Warrior's Helm"
2025-01-01 17:20:00,Desert Oasis,Mirage of Fortune,Easy,"Illusionary Trader","Magic Carpet,Water Flask"
2025-01-01 17:30:00,Fiery Chasm,The Lava Beast,Hard,"Magma Elemental","Fireproof Cloak,Obsidian Sword"
2025-01-01 17:40:00,Underground Sewer,Rat King's Domain,Medium,"Giant Rats,Rat King","Silver Key,Plague Mask"
2025-01-01 17:50:00,Castle Dungeon,Prison Break,Hard,"Dark Guard,Caged Specter","Jailor's Keys,Rusted Armor"
2025-01-01 18:00:00,Elven Glade,Council of Elders,Easy,"Elven Elder","Elven Brooch,Healing Herbs"
2025-01-01 18:10:00,Merchant Caravan,Ambushed by Raiders,Medium,"Raiders,Hired Thugs","Trade Goods,Iron Weapons"
2025-01-01 18:20:00,Arcane Spire,Reality Rift,Hard,"Eldritch Horror,Void Cultist","Arcane Crystal,Void Essence"
2025-01-01 18:30:00,Sunken Shipwreck,Treasure Hunt,Medium,"Merfolk Guardian,Sea Serpent","Pearl Crown,Ship Log"
2025-01-01 18:40:00,High Tower,Wizard's Duel,Hard,"Archmage,Animated Spellbook","Wand of Fireballs,Ancient Tome"
2025-01-01 18:50:00,Dark Swamp,Hag's Bargain,Easy,"Swamp Hag","Witch’s Brew,Shapeshifting Talisman"
2025-01-01 19:00:00,Silverwood Forest,Lycanthrope Attack,Hard,"Werewolf","Silver Claw,Shredded Cloak"
2025-01-01 19:10:00,Sunlit Clearing,Unicorn Sighting,Easy,"Unicorn","Blessed Feather,Purification Stone"
